region,distrito,n_constituyentes,comuna,circunscripcion
DE ÑUBLE,DISTRITO 19,5,SAN NICOLAS,SAN NICOLAS
DE LOS LAGOS,DISTRITO 25,3,SAN PABLO,QUILACAHUIN
DE LOS LAGOS,DISTRITO 25,3,SAN PABLO,SAN PABLO
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,SAN PEDRO,SAN PEDRO
DE ANTOFAGASTA,DISTRITO 3,4,SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA
DEL BIOBIO,DISTRITO 20,7,SAN PEDRO DE LA PAZ,LOMAS COLORADAS
DEL BIOBIO,DISTRITO 20,7,SAN PEDRO DE LA PAZ,SAN PEDRO DE LA PAZ
DEL MAULE,DISTRITO 17,7,SAN RAFAEL,SAN RAFAEL
METROPOLITANA DE SANTIAGO,DISTRITO 13,4,SAN RAMON,SAN RAMON
DEL BIOBIO,DISTRITO 21,4,SAN ROSENDO,SAN ROSENDO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,4,SAN VICENTE,EL TAMBO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,4,SAN VICENTE,SAN VICENTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,4,SAN VICENTE,ZUÑIGA
DEL BIOBIO,DISTRITO 21,4,SANTA BARBARA,SANTA BARBARA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,4,SANTA CRUZ,SANTA CRUZ
DEL BIOBIO,DISTRITO 20,7,SANTA JUANA,SANTA JUANA
DE VALPARAISO,DISTRITO 6,8,SANTA MARIA,SANTA MARIA
METROPOLITANA DE SANTIAGO,DISTRITO 10,7,SANTIAGO,EL CENTRO
METROPOLITANA DE SANTIAGO,DISTRITO 10,7,SANTIAGO,PARQUE ALMAGRO
METROPOLITANA DE SANTIAGO,DISTRITO 10,7,SANTIAGO,PARQUE O'HIGGINS
DE VALPARAISO,DISTRITO 7,7,SANTO DOMINGO,SANTO DOMINGO
DE ANTOFAGASTA,DISTRITO 3,4,SIERRA GORDA,SIERRA GORDA
DE ANTOFAGASTA,DISTRITO 3,4,SIERRA GORDA,SIERRA GORDA NORTE
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,TALAGANTE,TALAGANTE
DEL MAULE,DISTRITO 17,7,TALCA,TALCA
DEL BIOBIO,DISTRITO 20,7,TALCAHUANO,LOS CERROS
DEL BIOBIO,DISTRITO 20,7,TALCAHUANO,MEDIO CAMINO
DEL BIOBIO,DISTRITO 20,7,TALCAHUANO,TALCAHUANO
DE ANTOFAGASTA,DISTRITO 3,4,TALTAL,TALTAL
DE LA ARAUCANIA,DISTRITO 23,6,TEMUCO,CERRO ÑIELOL
DE LA ARAUCANIA,DISTRITO 23,6,TEMUCO,FUNDO EL CARMEN
DE LA ARAUCANIA,DISTRITO 23,6,TEMUCO,LABRANZA
DE LA ARAUCANIA,DISTRITO 23,6,TEMUCO,PEDRO DE VALDIVIA (TEMUCO)
DE LA ARAUCANIA,DISTRITO 23,6,TEMUCO,TEMUCO CENTRO
DE LA ARAUCANIA,DISTRITO 23,6,TEMUCO,TEMUCO NORTE
DE LA ARAUCANIA,DISTRITO 23,6,TEMUCO,TEMUCO SUR
DEL MAULE,DISTRITO 17,7,TENO,TENO
DE LA ARAUCANIA,DISTRITO 23,6,TEODORO SCHMIDT,BARROS ARANA
DE LA ARAUCANIA,DISTRITO 23,6,TEODORO SCHMIDT,HUALPIN
DE LA ARAUCANIA,DISTRITO 23,6,TEODORO SCHMIDT,TEODORO SCHMIDT
DE ATACAMA,DISTRITO 4,4,TIERRA AMARILLA,LOS LOROS
DE ATACAMA,DISTRITO 4,4,TIERRA AMARILLA,TIERRA AMARILLA
METROPOLITANA DE SANTIAGO,DISTRITO 8,7,TILTIL,HUERTOS FAMILIARES
METROPOLITANA DE SANTIAGO,DISTRITO 8,7,TILTIL,TILTIL
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,3,TIMAUKEL,TIMAUKEL
DEL BIOBIO,DISTRITO 21,4,TIRUA,TIRUA
DE ANTOFAGASTA,DISTRITO 3,4,TOCOPILLA,TOCOPILLA
DE LA ARAUCANIA,DISTRITO 23,6,TOLTEN,NUEVA TOLTEN
DE LA ARAUCANIA,DISTRITO 23,6,TOLTEN,QUEULE
DEL BIOBIO,DISTRITO 20,7,TOME,DICHATO
DEL BIOBIO,DISTRITO 20,7,TOME,RAFAEL
DEL BIOBIO,DISTRITO 20,7,TOME,TOME
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,3,TORRES DEL PAINE,TORRES DEL PAINE (C. CASTILLO)
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,TORTEL,TORTEL
DE LA ARAUCANIA,DISTRITO 22,3,TRAIGUEN,TRAIGUEN
DE ÑUBLE,DISTRITO 19,5,TREHUACO,TREGUACO
DEL BIOBIO,DISTRITO 21,4,TUCAPEL,POLCURA
DEL BIOBIO,DISTRITO 21,4,TUCAPEL,TRUPAN
DEL BIOBIO,DISTRITO 21,4,TUCAPEL,TUCAPEL
DEL BIOBIO,DISTRITO 21,4,TUCAPEL,TUCAPEL (HUEPIL)
DE LOS RIOS,DISTRITO 24,4,VALDIVIA,LAS ANIMAS
DE LOS RIOS,DISTRITO 24,4,VALDIVIA,NIEBLA
DE LOS RIOS,DISTRITO 24,4,VALDIVIA,VALDIVIA
DE ATACAMA,DISTRITO 4,4,VALLENAR,DOMEYKO
DE ATACAMA,DISTRITO 4,4,VALLENAR,VALLENAR
DE VALPARAISO,DISTRITO 7,7,VALPARAISO,BARON
DE VALPARAISO,DISTRITO 7,7,VALPARAISO,EL PUERTO
DE VALPARAISO,DISTRITO 7,7,VALPARAISO,LAGUNA VERDE
DE VALPARAISO,DISTRITO 7,7,VALPARAISO,PLACILLA DE PEÑUELAS
DE VALPARAISO,DISTRITO 7,7,VALPARAISO,PLAYA ANCHA
DEL MAULE,DISTRITO 17,7,VICHUQUEN,LLICO DE MATAQUITO
DEL MAULE,DISTRITO 17,7,VICHUQUEN,VICHUQUEN
DE LA ARAUCANIA,DISTRITO 22,3,VICTORIA,PUA
DE LA ARAUCANIA,DISTRITO 22,3,VICTORIA,QUINO
DE LA ARAUCANIA,DISTRITO 22,3,VICTORIA,SELVA OBSCURA
DE LA ARAUCANIA,DISTRITO 22,3,VICTORIA,VICTORIA
DE COQUIMBO,DISTRITO 5,6,VICUÑA,VICUÑA
DE LA ARAUCANIA,DISTRITO 22,3,VILCUN,CAJON
DE LA ARAUCANIA,DISTRITO 22,3,VILCUN,CHERQUENCO
DE LA ARAUCANIA,DISTRITO 22,3,VILCUN,VILCUN
DEL MAULE,DISTRITO 18,4,VILLA ALEGRE,VILLA ALEGRE
DE VALPARAISO,DISTRITO 6,8,VILLA ALEMANA,VILLA ALEMANA
DE LA ARAUCANIA,DISTRITO 23,6,VILLARRICA,LICAN-RAY
DE LA ARAUCANIA,DISTRITO 23,6,VILLARRICA,ÑANCUL
DE LA ARAUCANIA,DISTRITO 23,6,VILLARRICA,VILLARRICA
DE VALPARAISO,DISTRITO 7,7,VIÑA DEL MAR,AGUA SANTA
DE VALPARAISO,DISTRITO 7,7,VIÑA DEL MAR,FORESTAL
DE VALPARAISO,DISTRITO 7,7,VIÑA DEL MAR,MIRAFLORES
DE VALPARAISO,DISTRITO 7,7,VIÑA DEL MAR,REÑACA BAJO
DE VALPARAISO,DISTRITO 7,7,VIÑA DEL MAR,SAUSALITO
METROPOLITANA DE SANTIAGO,DISTRITO 11,6,VITACURA,VITACURA
DEL MAULE,DISTRITO 18,4,YERBAS BUENAS,ORILLA DEL MAULE
DEL MAULE,DISTRITO 18,4,YERBAS BUENAS,YERBAS BUENAS
DEL BIOBIO,DISTRITO 21,4,YUMBEL,RERE
DEL BIOBIO,DISTRITO 21,4,YUMBEL,RIO CLARO
DEL BIOBIO,DISTRITO 21,4,YUMBEL,TOMECO
DEL BIOBIO,DISTRITO 21,4,YUMBEL,YUMBEL
DEL BIOBIO,DISTRITO 21,4,YUMBEL,YUMBEL ESTACION
DE ÑUBLE,DISTRITO 19,5,YUNGAY,CAMPANARIO
DE ÑUBLE,DISTRITO 19,5,YUNGAY,YUNGAY
DE VALPARAISO,DISTRITO 6,8,ZAPALLAR,CATAPILCO
DE VALPARAISO,DISTRITO 6,8,ZAPALLAR,ZAPALLAR
